month,day_of_week,food_category,order_platform,payment_method,time_slot,items_ordered,order_value,discount_percent,prep_time_mins,delivery_time_mins,is_repeat_customer,distance_km,driver_rating,weather_condition,kitchen_load,customer_complaint_history,payment_failed_attempt,promo_code_used,order_status
Apr-24,Monday,Pizza,Website,Wallet,Afternoon (2-5pm),3,1123.35,15,28,31,0,10,4.5,Rainy,High,0,0,0,Delivered
Jan-23,Tuesday,Healthy Bowls,Swiggy,Wallet,Morning (7-11am),1,419.51,10,12,31,0,23.8,3.7,Rainy,Very High,0,0,0,Cancelled
Nov-23,Wednesday,South Indian,Zomato,Cash on Delivery,Dinner (8-11pm),4,332.72,15,21,38,0,18.6,2.8,Cloudy,Medium,1,0,0,Delivered
Jan-23,Thursday,Biryani,Swiggy,Wallet,Evening (5-8pm),5,1696.2,0,26,15,0,15.4,2.8,Stormy,High,1,1,0,Cancelled
Oct-24,Friday,Beverages,Zomato,Cash on Delivery,Evening (5-8pm),5,535.8,10,5,60,0,4.7,4.2,Clear,Medium,2,0,1,Delivered
Feb-23,Tuesday,Biryani,Website,Credit Card,Dinner (8-11pm),3,827.16,0,26,42,0,4.7,3.6,Clear,Low,0,0,1,Delivered
Mar-23,Monday,Chinese,Direct App,Debit Card,Evening (5-8pm),1,381.78,15,20,15,0,2.4,3,Rainy,Low,0,1,0,Cancelled
Sep-24,Thursday,Beverages,Direct App,Debit Card,Lunch (11am-2pm),5,726.2,5,3,40,0,21.8,3.7,Clear,Medium,1,2,0,Delivered
Sep-24,Monday,Desserts,Zomato,Credit Card,Lunch (11am-2pm),6,1207.56,5,8,31,0,15.4,2.7,Rainy,Medium,1,0,0,Delivered
Jan-24,Wednesday,Pizza,Zomato,Cash on Delivery,Lunch (11am-2pm),6,3123.42,20,18,22,0,18,4,Rainy,High,0,0,0,Delivered
Dec-24,Friday,Beverages,Swiggy,UPI,Evening (5-8pm),6,486.78,5,3,20,0,1.5,3.2,Clear,Low,0,0,0,Delivered
Nov-24,Wednesday,Beverages,Swiggy,Cash on Delivery,Afternoon (2-5pm),6,1005.54,20,10,25,0,24.3,4.5,Rainy,High,0,0,0,Delivered
Mar-24,Saturday,Wraps & Rolls,Swiggy,UPI,Late Night (11pm-2am),5,981.25,25,18,37,0,21,3.3,Clear,Medium,0,0,0,Delivered
Mar-23,Monday,Pasta,Website,UPI,Lunch (11am-2pm),3,606.03,0,16,19,0,6.1,3.6,Cloudy,Medium,1,0,0,Refunded
Apr-23,Friday,Biryani,Website,Credit Card,Morning (7-11am),2,761.4,5,33,46,0,5.4,2.5,Cloudy,Medium,0,2,0,Cancelled
Feb-24,Thursday,Desserts,Direct App,Debit Card,Dinner (8-11pm),4,495.92,0,5,18,0,5.4,2.7,Stormy,Medium,3,0,1,Cancelled
Feb-23,Friday,South Indian,Website,Cash on Delivery,Morning (7-11am),3,539.01,5,12,38,0,8.3,3.5,Clear,Medium,0,0,0,Delivered
Dec-23,Monday,Biryani,Swiggy,Wallet,Late Night (11pm-2am),2,712.88,0,22,37,0,13.6,3.7,Clear,Medium,0,0,0,Delivered
Apr-23,Friday,Beverages,Zomato,Wallet,Morning (7-11am),4,216.24,0,9,34,0,11.4,4,Cloudy,Low,1,0,1,Refunded
Oct-23,Monday,Pizza,Website,Cash on Delivery,Morning (7-11am),3,793.74,15,25,36,0,8,3.2,Cloudy,Low,0,1,0,Cancelled
Jun-24,Friday,Pizza,Swiggy,Cash on Delivery,Morning (7-11am),2,1121.26,10,20,60,0,15.7,4.2,Cloudy,Medium,0,0,0,Delivered
Nov-23,Monday,Burgers,Swiggy,UPI,Afternoon (2-5pm),6,1046.34,0,18,39,0,4.3,4.7,Clear,Very High,0,0,0,Delivered
Feb-23,Saturday,Beverages,Swiggy,Credit Card,Lunch (11am-2pm),2,255.34,0,7,17,0,8,4.4,Clear,Medium,0,0,0,Delivered
Dec-24,Thursday,South Indian,Swiggy,Credit Card,Dinner (8-11pm),3,446.94,10,21,20,0,9.8,2.6,Clear,High,0,0,0,Delivered
Apr-24,Monday,Pasta,Swiggy,Wallet,Afternoon (2-5pm),5,2231.85,25,20,25,0,11.9,3.7,Rainy,High,0,0,1,Delivered
Oct-24,Thursday,Beverages,Website,Wallet,Dinner (8-11pm),5,343.1,20,4,33,0,19.8,2.8,Clear,Very High,1,0,0,Delivered
Sep-24,Monday,Wraps & Rolls,Swiggy,Debit Card,Morning (7-11am),4,609.16,25,10,21,0,5.8,3.1,Clear,High,2,0,0,Cancelled
Jun-23,Tuesday,Pasta,Direct App,UPI,Late Night (11pm-2am),2,493.18,0,23,29,0,13.3,5,Stormy,Medium,0,0,1,Delivered
Jul-24,Saturday,Wraps & Rolls,Direct App,Cash on Delivery,Evening (5-8pm),4,550.6,5,15,38,0,15.2,2.9,Clear,High,0,0,1,Delivered
